,percent_time_idle,hourly_wage
548,11.5803080201,44.0903458086
554,57.9055441478,23.8444239892
556,7.08052896811,53.6065137858
557,23.4923492349,47.1078345076
563,12.6414703501,52.1298543429
570,53.5741919184,29.6930348955
574,19.6169158819,49.2618239064
575,5.59736628879,55.408380544
580,22.7136484037,46.8104385699
581,9.96563270282,52.8890385047
587,8.48837209302,55.9016391339
596,9.77386154691,56.5307069225
597,14.6759056813,52.5848092133
598,9.54825462012,59.915643985
600,10.6241817738,53.5237435757
601,13.0238720884,54.3396059508
604,24.7962696649,42.1784682244
606,54.3674377856,24.3127281575
611,72.5425025001,20.8111227638
612,20.5897817009,34.2289625048
615,24.6175243394,45.3782418109
617,11.622747849,52.1070178105
618,55.9998275602,25.0152928838
620,17.7816901408,47.6715662943
624,6.96327074022,58.5911819406
625,8.49566175672,56.3962934794
629,9.8346998283,57.9311101559
633,28.6502726887,55.3084124147
635,14.7796988288,56.157422159
638,27.1186440678,46.8798129749
640,47.75,31.9151172414
641,21.4232725731,49.8622312201
642,18.3844011142,43.9440399577
643,54.1426740973,26.5051356564
644,61.6512764802,21.2530521268
646,32.8444870107,42.4989989143
655,67.5438596491,22.0072837266
656,22.8956228956,46.4890073145
658,56.9191919192,22.2868338558
659,8.8301737235,57.4334523075
660,5.27272727273,51.5932137931
661,23.0897009967,51.7959502807
666,16.8004587156,55.5749169567
670,12.9355987678,49.2925159003
672,62.5954198473,21.1490097394
673,19.680022324,40.9866480847
674,17.2798259089,47.7307166693
675,61.2814741876,23.5351303108
676,24.2835908604,49.9754619216
677,70.6382978723,17.9033661042
678,25.3201396973,48.7548328048
684,17.7236190967,46.6897084368
688,5.97295564409,55.911309537
691,13.4867721115,51.154134189
692,10.8721068587,55.1259829625
693,6.99605021865,57.0648795365
694,6.7471314567,58.7937488277
696,16.2874251497,47.0184332026
697,5.03405313485,61.2169844596
700,28.1635545182,42.7027549413
701,9.00995326771,57.1307816496
702,55.0185873606,24.9752595821
703,52.6548672566,28.8942569423
704,30.4347826087,40.3829685157
707,27.0894990951,44.7128261588
714,15.4184281995,53.2510607814
716,7.47721540946,56.5447604989
717,36.3779527559,42.4477436872
720,21.4173586153,46.606390571
721,65.3215636822,25.0325103274
723,5.74947537273,60.3199978178
724,15.9541188738,51.7706562152
726,14.361252797,49.1844269576
728,7.62666166506,59.9215158088
729,47.51473523,29.341017151
732,27.9026217228,48.4726423867
737,36.9929584449,39.1968318132
738,13.726993865,45.6040554263
740,33.9393939394,43.6004514107
743,14.5826643282,54.4532477234
746,9.71413619415,73.3447531484
747,46.5753424658,31.7286348607
748,31.6239316239,42.2238019452
750,28.0864531069,43.1862973955
752,7.93820417425,54.711306185
754,17.3305513952,52.6387085661
755,8.28389267688,56.089104633
760,44.3495400788,41.5261715529
763,12.3697436224,45.4108855745
764,19.1784631643,50.8775117406
766,14.8936170213,47.0934233309
767,61.3800325809,22.7822137337
772,43.0241462045,29.9891107078
778,23.4422123396,47.9869281737
782,9.55508432978,56.2102113813
785,40.6889784661,38.025504512
786,19.4915254237,44.3491525424
789,8.08961132843,52.5615114573
790,23.1573884814,45.0307098465
796,12.9796944466,49.530090926
798,36.0267711394,34.2570333345
800,7.29112822048,51.2507587107
810,34.7826086957,56.5306146927
812,35.8868802577,34.6298982243
813,9.7717807294,56.6372760406
814,62.7083333333,20.2934051724
815,44.3052804226,34.0291348351
817,7.48167113963,54.5305453822
821,21.4909025482,37.5559539237
823,13.9229910714,51.0150284791
826,52.9134452197,26.4128437384
828,15.6910684002,55.9665055262
830,5.44558313525,53.6466884432
831,12.0377201881,56.8196214306
835,21.5053763441,46.459621802
841,59.3,23.0091268966
843,77.4828457927,24.488362536
847,67.9405297875,24.9710772297
848,16.7243367935,50.5710822098
850,26.826748569,46.1233330284
851,54.0,25.5033931034
852,8.44175068669,57.2400532904
853,26.6589154888,40.8269756447
857,56.9230769231,29.6765411141
858,29.1025249662,45.6208114599
859,9.07221647903,55.4389533305
862,16.9800246386,52.3390773831
865,72.1769499418,23.0647360604
872,19.4103194103,51.0281877489
873,6.37634080054,53.9279623492
874,14.2302716688,58.514043806
875,18.3882810689,51.710707711
877,40.2748139281,35.4062210034
878,9.72928711446,55.6754765219
879,37.3831775701,41.7568288753
880,30.4232562391,42.045979113
881,38.8148766988,39.0163604179
883,19.8233020431,45.649033683
884,12.9505968993,50.5514026744
886,8.62468567274,56.8160076807
887,52.373529116,33.5673060583
888,9.15208613728,62.3628087437
890,26.7441860465,51.2067040898
892,16.889015044,66.5624908238
893,7.71055262523,57.9170060021
894,6.38107809021,50.9328316523
898,11.5227332051,51.9786167493
899,70.9281961471,17.206314391
901,30.1899586373,40.5580372756
903,53.125,33.2267918719
904,5.45304580346,53.6692886512
907,18.4492353739,50.239897308
908,8.75510642873,58.026693555
910,27.4436683191,42.3341253438
911,44.248985115,32.0516186832
913,50.969030969,38.6155775259
914,22.7602518618,48.6221676294
915,5.84627702162,58.415016703
917,16.028498424,45.7946070887
918,6.51210804766,54.994196265
919,65.8743633277,22.2503249224
920,48.4882087676,26.2427176299
926,10.2122428911,51.2858115726
927,29.3515358362,39.1438107567
928,43.2985078555,33.3258025846
929,5.65154978999,55.3885575687
930,13.5775285847,51.3504986965
934,8.52823156092,51.4424805864
936,33.5469476882,39.0739842269
937,26.2295081967,36.1543131713
938,20.4603580563,45.7070067907
939,7.25819217983,51.0883003172
941,63.2226287644,20.0315226569
946,21.3533632194,47.4748127598
948,26.9230769231,45.5439787798
949,52.9185770464,25.4688489104
950,35.5445308607,34.3343480668
951,25.1827119676,46.3827470699
954,15.2472442119,47.2009386585
956,78.4403669725,17.0797503667
958,22.7146206327,48.1210274068
965,10.6195192553,52.7202382292
966,14.9569735098,52.2566459393
968,23.5015855544,46.2069345074
969,21.2492692195,48.5162586056
971,6.89685868017,55.5037653273
972,16.6963448922,50.0487606244
975,36.672495903,40.4821328406
980,46.3973063973,33.8368011146
985,18.5331230284,47.8766007733
987,5.36082474227,57.9574575187
990,11.4027125395,47.8755845611
991,32.1038251366,51.1550989259
993,15.9541188738,48.4784198099
999,8.04415361227,51.1758326667
1000,38.4615384615,47.3929973475
1002,6.8007604839,54.9548649548
1005,16.8234318425,54.8345543231
1009,26.4339696824,41.0412223446
